;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
188;542;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18581;738,57;;
189;529;004905;REND.DIARIO - REND.DIARIO;18,98;;
190;640;004905;PAGTO DEBITO EM C/C - CAMARGO DE JESUS SERVICOS ME - DEB C/C- 154361-1;1400,00;;
191;576;004905;PAGTO DEBITO EM C/C - ANDRADE ARAUJO SERVICOS MEDI - DEB C/C- 154185-1;8132,19;;
192;578;004905;DESC. CIELO 18243 - DESC. CIELO 18243;0,01;;
193;611;004905;PAGTO DEBITO EM C/C - FGTS - FABIANA DE SOUZA OLIV - DEB C/C- 154273-1;4887,66;;
194;612;004905;PIX CAMILA  LANDIM DA FONSECA (06/04) - PIX CAMILA 19421;6,00;;
195;613;004905;PIX CLELIO LUIZ ESTEVES (06/04) - PIX CLELIO 19412;105,30;;
196;614;004905;PIX SINTEX (DANIEL  P. LEITE)  DOAÇÃO P/ CORRIDA - PIX DANIEL DOAÇÃO;2000,00;;
197;615;004905;PIX GRACE  KELLY  DE ALMEIDA (07/04) - PIX GRACE  19496;1400,00;;
198;616;004905;PIX IAN  MACHADO DE SOUZA (07/04) - PIX IAN 19411;162,81;;
199;617;004905;REND.DIARIO - REND.DIARIO;67,99;;
200;618;004905;02 TED (07/04) - 02 TED (07/04);7,28;;
201;619;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18278;677,88;;
202;620;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18295;949,03;;
203;621;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18572;524,77;;
204;622;004905;19 TED (08/04) - 19 TED (08/04);69,16;;
205;623;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19144;34,21;;
206;610;004905;PAGTO DEBITO EM C/C - DEBORA EVANGELISTA CAMARGO P - DEB C/C- 154247-1;727,25;;
207;624;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19426;103,65;;
208;626;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19430;203015,03;;
209;627;004905;PAGTO DEBITO EM C/C - POLO SURGICAL COMERCIO DE MA - DEB C/C- 148967-1;29754,53;;
210;628;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 152039-2;578,00;;
211;629;004905;PAGTO DEBITO EM C/C - FFR SERVICOS MEDICOS LTDA 18 - DEB C/C- 154232-1;4781,66;;
212;630;004905;PAGTO DEBITO EM C/C - TICIANI RIOS SERVIÇOS MEDICO - DEB C/C- 154255-1;1997,04;;
213;631;004905;PAGTO DEBITO EM C/C - MARIANA ROLIM SERVIÇOS MEDIC - DEB C/C- 154260-1;4970,17;;
214;632;004905;PAGTO DEBITO EM C/C - FGTS- JULIA RAMOS BERNARDES  - DEB C/C- 154268-1;893,21;;
215;633;004905;PAGTO DEBITO EM C/C - L S G DA ROCHA SERVIÇOS MEDI - DEB C/C- 154295-1;2800,00;;
216;634;004905;PAGTO DEBITO EM C/C - AMANDA BARROS SILVA 11814963 - DEB C/C- 154312-1;1400,00;;
217;635;004905;PAGTO DEBITO EM C/C - BP GOMES SERVIÇOS MEDICOS 24 - DEB C/C- 154314-1;13300,00;;
218;636;004905;PAGTO DEBITO EM C/C - ANA CLARA C AVILA FEST DA SI - DEB C/C- 154328-1;6300,00;;
219;637;004905;PAGTO DEBITO EM C/C - LTS SOCIEDADE MEDICA LTDA 6 - DEB C/C- 154333-1;10500,00;;
220;638;004905;PAGTO DEBITO EM C/C - MARIANA ROLIM SERVIÇOS MEDIC - DEB C/C- 154337-1;4779,95;;
221;625;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19427;196,74;;
222;577;004905;DESC. CIELO 17651 - DESC. CIELO 17651;0,70;;
223;609;004905;PAGTO DEBITO EM C/C - LP SERVICO MEDICO LTDA 22 - DEB C/C- 154221-1;1300,00;;
224;607;004905;PAGTO DEBITO EM C/C - ALERGO TRAUMA CLINICA MEDICA - DEB C/C- 154214-1;609,55;;
225;579;004905;INTENSIBABY EMPRESTIMO PROVISORIO PAGO - INTENSIBABY EMP.PR;227000,00;;
226;580;004905;CREDITO CONVENIO A IDENTIFICAR - IR.S.ISABEL PLAMESC;200000,00;;
227;581;004905;PIX ADRIELI CRISTIAN VIEIRA (02/04) - PIX ADRIELI  19386;107,06;;
228;582;004905;PIX ANA CLARA NICACIA (02/04)  RECIBO PLANO - PIX ANA CLARA RECIB;224,89;;
229;583;004905;PIX CRISTIANE DE OLIVEIRA (02/04) - PIX CRISTIANE 19408;3855,00;;
230;584;004905;PIX MIX  NET DOAÇÃO CORRIDA RECIBO - PIX DOAÇÃO CORRIDA;5000,00;;
231;585;004905;PIX LILIAN DE ALMEIDA SILVA (06/04) - PIX LILIAN  19417;1300,00;;
232;586;004905;PIX LOREN NAIER TELES (06/04) - PIX LOREN 19409;100,00;;
233;587;004905;PIX OLIST SER. RECIBO REEMBOLSO PRODUTO - PIX OLIST SER. RECIB;94,89;;
234;588;004905;PIX PATRICIA COSTA PAIXÃO (05/04) - PIX PATRICIA 19385;91,45;;
235;589;004905;PIX ROSEMEIRE APCIDA (02/04)  RECIBO PLANO - PIX ROSEMEIRE RECI;313,18;;
236;590;004905;PIX WALLACE DA SILVA (03/04) - PIX WALLACE 19387;20,00;;
237;591;004905;REND.DIARIO - REND.DIARIO;85,86;;
238;608;004905;PAGTO DEBITO EM C/C - CARDOSO E SANTOS SERVICOS DE - DEB C/C- 154219-1;3649,78;;
239;592;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17656;593,63;;
240;594;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18596;323,93;;
241;595;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18838;544,21;;
242;596;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19141;34,21;;
243;597;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19143;68,42;;
244;598;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19145;162,91;;
245;599;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19406;4229,91;;
246;600;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19410;98,92;;
247;601;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19423;17,71;;
248;602;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19413;1035,64;;
249;603;004905;PAGTO DEBITO EM C/C - SURGIC DISTRIBUIDORA E IMPOR - DEB C/C- 148824-1;3400,00;;
